,property_id,address,street_name,city,rstate,postcode,price,zestimate,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,property_type,property_status,agency_name
577,2067842637,"30 Condor St #6, Boston, MA 02128",Condor St #6,Boston,MA,2128,899000,899000,2,3,684,1314,5227.2,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay
589,2067920505,"340 W 2nd St #9B, Boston, MA 02127",W 2nd St #9B,Boston,MA,2127,1540000,1515200,3,3,894,1721,0.29,CONDO,FOR_SALE,Herion Karbunara
590,59173220,"129 Pinckney St, Boston, MA 02114",Pinckney St,Boston,MA,2114,3675000,3523000,5,4,877,4188,1306.8,SINGLE_FAMILY,FOR_SALE,Engel & Volkers Boston
591,67710109,"1 Charles St #501, Boston, MA 02114",Charles St #501,Boston,MA,2114,895000,877500,1,1,1234,725,871.2,CONDO,FOR_SALE,Broad Street Boutique Realty LLC
595,71558209,"16 Stillman St APT 3, Boston, MA 02113",Stillman St APT 3,Boston,MA,2113,420000,409700,1,1,958,438,438.0,CONDO,FOR_SALE,Compass
596,71546649,"16 Stillman St APT 4, Boston, MA 02113",Stillman St APT 4,Boston,MA,2113,480000,466900,1,1,963,498,498.0,CONDO,FOR_SALE,Compass
600,2068405421,"88 White St #88, Boston, MA 02128",White St #88,Boston,MA,2128,899000,894200,2,3,578,1554,0.07,CONDO,FOR_SALE,Gibson Sotheby's International Realty
601,2068405707,"88 White St, Boston, MA 02128",White St,Boston,MA,2128,899000,891200,2,3,578,1554,0.07,SINGLE_FAMILY,FOR_SALE,Gibson Sotheby's International Realty
602,59164354,"100 Fulton St APT 1M, Boston, MA 02109",Fulton St APT 1M,Boston,MA,2109,1290000,1260500,3,2,579,2226,2226.0,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay
603,2068436212,"340 W 2nd St UNIT 8, Boston, MA 02127",W 2nd St UNIT 8,Boston,MA,2127,1620000,1605900,3,3,966,1676,0.29,CONDO,FOR_SALE,Herion Karbunara
609,190073274,"407-409 Shawmut Ave #6, Boston, MA 02118",409 Shawmut Ave #6,Boston,MA,2118,2595000,2550300,2,3,1064,2438,2613.6,CONDO,FOR_SALE,MGS Group Real Estate LTD
610,63709848,"485-495 Harrison Ave #202, Boston, MA 02118",495 Harrison Ave #202,Boston,MA,2118,879000,864000,1,1,722,1217,1306.8,CONDO,FOR_SALE,MV of Massachusetts LLC
611,59174448,"54 Pinckney St, Boston, MA 02114",Pinckney St,Boston,MA,2114,6350000,6072000,5,6,1660,3825,1344.0,SINGLE_FAMILY,FOR_SALE,Berkshire Hathaway HomeServices Warren Residential
614,59180675,"13 Hancock St, Boston, MA 02114",Hancock St,Boston,MA,2114,2990000,2837500,5,4,709,4212,0.03,SINGLE_FAMILY,FOR_SALE,Campion & Company Fine Homes Real Estate
616,2068770560,"65 E India Row #27ABC, Boston, MA 02110",E India Row #27ABC,Boston,MA,2110,2449000,2296500,3,4,677,3616,1742.4,CONDO,FOR_SALE,Compass
617,67709760,"1 Nassau St UNIT 1209, Boston, MA 02111",Nassau St UNIT 1209,Boston,MA,2111,950000,924300,4,2,733,1295,1306.8,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay
620,59172210,"33 Sleeper St APT 603, Boston, MA 02210",Sleeper St APT 603,Boston,MA,2210,839500,825700,0,1,967,868,871.2,CONDO,FOR_SALE,Compass
628,59172798,"50 Brimmer St, Boston, MA 02108",Brimmer St,Boston,MA,2108,4449000,4099300,3,5,1400,3177,1306.8,SINGLE_FAMILY,FOR_SALE,Gibson Sotheby's International Realty
630,59163896,"20 Rowes Wharf APT 309, Boston, MA 02110",Rowes Wharf APT 309,Boston,MA,2110,2875000,2706600,2,3,1457,1973,1973.0,CONDO,FOR_SALE,CL Properties
639,59174642,"52 Beacon St, Boston, MA 02108",Beacon St,Boston,MA,2108,9500000,4415300,4,5,1746,5438,0.07,CONDO,FOR_SALE,Campion & Company Fine Homes Real Estate
649,59184093,"121 W Concord St #1, Boston, MA 02118",W Concord St #1,Boston,MA,2118,1575000,1558300,2,2,958,1643,1742.4,CONDO,FOR_SALE,Keller Williams Realty Boston-Metro | Back Bay
655,2093376007,"1 Claremont Park #1, Boston, MA 02118",Claremont Park #1,Boston,MA,2118,997500,1724000,2,2,980,1017,1017.0,CONDO,FOR_SALE,Gibson Sotheby's International Realty
658,59211877,"1 Huntington Ave PENTHOUSE 1802, Boston, MA 02116",Huntington Ave PENTHOUSE 1802,Boston,MA,2116,8250000,7907700,3,4,2880,2864,3049.2,CONDO,FOR_SALE,Gibson Sotheby's International Realty
661,59183902,"2 Presby Pl, Boston, MA 02119",Presby Pl,Boston,MA,2119,445000,451700,3,2,371,1199,871.2,SINGLE_FAMILY,FOR_SALE,Berkshire Hathaway HomeServices Commonwealth Real Estate
662,190039888,"21 Forest St #23, Boston, MA 02119",Forest St #23,Boston,MA,2119,850000,850000,5,3,371,2288,6098.4,MULTI_FAMILY,FOR_SALE,Signal Real Estate
666,59176734,"160 Commonwealth Ave APT 403, Boston, MA 02116",Commonwealth Ave APT 403,Boston,MA,2116,1050000,1049600,2,1,979,1072,1072.0,CONDO,FOR_SALE,Engel & Volkers Boston
674,59165356,"38-40 Saint Botolph St UNIT 4, Boston, MA 02116",40 Saint Botolph St UNIT 4,Boston,MA,2116,484000,484800,0,1,952,508,508.0,CONDO,FOR_SALE,RE/MAX Andrew Realty Services
